ブラックアウト
中央大　それはある日の朝、チヨが朝ご飯を食べていた時のことである─
ステージ　living room
ブラックイン
ミュージック　n114
キャラクター　syoko_cough//chiyo
お母さん　「コホッコホッ」
キャラクター　syoko_cough//chiyo_hatena
チヨ　「──？」
チヨ　「お母さん、どうしたの？」
キャラクター　syoko//chiyo_hatena
お母さん　「あぁ、ごめんなさいね、チヨ。大したことないのよ」
お母さん　「お母さん、なんだか少し風邪っぽいみたいで...」
キャラクター　syoko//chiyo_kiri
チヨ　「！！！」
チヨ　「ぜんぜん大したことなくないよ、お母さん！」
チヨ　「そういうのはね、大したことないってあまく見てると、あとで痛いめみるんだよ！」
お母さん　「でも...」
チヨ　「でも、じゃないの！びょーにんさんは早くねる！」
お母さん　「...分かったわ。じゃあ、お母さん、寝室で少し横になってるわね」
キャラクター　syoko//chiyo_kiri
お母さん　「でも、チヨは１人で大丈夫？」
キャラクター　syoko//chiyo
チヨ　「だいじょぶだよ！チヨ、もう５歳だもん！」
キャラクター　syoko//chiyo
チヨ　「それに、ひとりじゃないよ。ココがいるよ！」
お母さん　「そうねぇ。ココ、チヨをお願いできる？」
キャラクター　/coco_happy/
ココ　「にゃぁーん」
キャラクター　syoko//chiyo
お母さん　「ふふ、大丈夫みたいね」
お母さん　「じゃあ、お母さん寝室に行ってくるわ。きっとすぐに良くなるから、チヨは気にせず遊んでいてね」
チヨ　「はぁい」
キャラクター　//chiyo
　キィーガチャン
キャラクター　coco//chiyo
ココ　「お母さん、調子悪そうだったな」
キャラクター　coco//chiyo
チヨ　「うん、しんぱいだよ...」
ココ　「お母さんは遊んでろって言ってたけど、チヨはどうすんだ？」
チヨ　「どうしよう...」
選択肢　ココと遊んでる/やっぱり心配だ。何かしよう
ルート　1/0
キャラクター　coco//chiyo
チヨ　「うん、やっぱりしんぱいだよ。何かしよう！」
ココ　「何かってなんだよ」
キャラクター　coco//chiyo
チヨ　「うーん」
選択肢　看病する/ココに聞く/絵本を参考にする
ルート　0/2/3
キャラクター　coco//chiyo
チヨ　「やっぱりこういう時は、ちゃんとかんびょーしてあげるべきだとおもうんだよね」
ココ　「かんびょう？」
チヨ　「そう。あたまにぬらしたタオルのせてあげたり、おくすり飲ませてあげたりするの」
ココ　「なるほどな。いいんじゃねーの？」
ココ　「それなら早く寝室に行こうぜ。俺もついてってやるよ」
チヨ　「うん！でもその前に、タオルぬらしたり、おくすり探したりしないと」
ココ　「あぁ、そうだったな。じゃあ、手っ取り早く済まそうぜ」
チヨ　「うん！」
ココ　「まずは薬からだな」
キャラクター　coco/shelf/chiyo
チヨ　「おくすりはたしか、このたなにあったはずだよ」
ココ　「どの引き出しかは覚えてないのか？」
キャラクター　coco/shelf/chiyo_mazime
チヨ　「うーん」
キャラクター　coco/shelf/chiyo_sad
チヨ　「ごめんね、おぼえてないや...」
ココ　「仕方ない。じゃあ、しらみつぶしに探してこーぜ」
キャラクター　coco/shelf/chiyo
チヨ　「うん！」
ミュージック　n109+
ミニゲーム　1
キャラクター　coco/shelf1/chiyo
チヨ　「あった！このひきだしだ！」
ココ　「どれがどの薬かは分かるか？」
キャラクター　coco/shelf1/chiyo_mazime
チヨ　「うーん。たしか、青と白の箱のおくすりは、あたまがいたいときにのむっていってたよ」
キャラクター　coco/shelf1/chiyo
チヨ　「青と赤の箱は、のどとねつがつらいときにのむんだっていってたとおもう!」
ミニゲーム　2
チヨ　「うん！この箱かな！」
ココ　「よし、じゃあ次はタオルだな」
チヨ　「タオルのばしょは、チヨわかるよ！」
チヨ　「とってくるね！」
ココ　「おう。慌てて転ぶなよー」
キャラクター　coco//
　ドタドタドタ
　バタンッ
　バタバタバタ
キャラクター　coco//chiyo
チヨ　「とってきたよ！」
ココ　「お疲れ様。ちゃんとタオルだな」
チヨ　「うん！」
チヨ　「あとはおけに水いれて、コップに水をそそぐだけだね！」
ココ　「わざわざ桶に水を入れるのか？タオルを濡らすためだけに？」
チヨ　「うん。テレビではそーしてたよ？」
ココ　「なるほどなぁ。何か理由があるのかもしんねぇな」
ココ　「でも、俺らじゃ水がいっぱい入った桶は持てないだろ？」
ココ　「タオルは普通にここで濡らして、桶はなしにしよーぜ」
チヨ　「なるほど！たしかにそうかも！」
チヨ　「じゃあキッチンでタオルをぬらしてしぼろう！」
ココ　「そうだな。俺のほうに水を飛ばすなよ？」
チヨ　「はぁい」
チヨ　「...よし！かんぺき！」
ココ　「いい感じだなー」
チヨ　「じゃあ、あとはコップに水をそそぐだけだね！」
ココ　「ああ。コップはすぐそこにあるからちゃっちゃと水そそごうぜ」
チヨ　「うん！」
　・・・
チヨ　「よし！じゅんびかんりょー！」
ココ　「じゃあ、はやく寝室に行こうぜ」
チヨ　「うん！お母さんをはやくよくしてあげないと！」
スコア分岐　-2/0
エンド　0/1/2
